user_id,最近一次购买时间
100088,2017-12-02
1000896,2017-11-27
10009,2017-12-03
100091,2017-12-03
1000911,2017-12-03
1000916,2017-12-01
1000919,2017-11-29
1000922,2017-11-29
1000923,2017-12-02
1000936,2017-11-27
1000937,2017-12-01
100095,2017-11-29
1000959,2017-11-26
1000962,2017-11-30
1000964,2017-11-26
1000984,2017-11-30
1001005,2017-12-02
1001009,2017-11-30
100101,2017-12-03
1001017,2017-11-28
1001018,2017-11-27
1001024,2017-11-29
100103,2017-12-02
1001048,2017-12-03
100105,2017-12-03
1001054,2017-12-03
1001065,2017-11-30
100107,2017-12-03
1001081,2017-12-02
1001088,2017-11-25
100109,2017-11-29
1001092,2017-11-28
1001099,2017-12-01
1001102,2017-12-02
1001104,2017-12-02
1001108,2017-11-26
1001120,2017-11-30
1001121,2017-11-30
100113,2017-11-29
1001131,2017-12-03
1001138,2017-12-03
1001145,2017-12-02
1001148,2017-12-03
1001151,2017-12-01
1001154,2017-11-29
100116,2017-12-03
1001185,2017-11-29
1001186,2017-12-03
1001199,2017-12-03
1001201,2017-12-03
1001228,2017-12-02
1001230,2017-11-30
1001232,2017-11-30
1001235,2017-12-03
1001241,2017-12-01
1001248,2017-11-26
1001265,2017-12-01
1001270,2017-12-02
100128,2017-12-02
1001301,2017-11-27
1001305,2017-11-30
1001313,2017-12-02
1001326,2017-12-02
1001327,2017-11-29
100134,2017-11-28
1001346,2017-11-27
1001347,2017-12-01
1001352,2017-12-02
1001360,2017-11-27
1001373,2017-11-30
1001375,2017-12-03
1001378,2017-12-03
1001381,2017-12-02
1001404,2017-12-01
100141,2017-12-02
1001419,2017-12-01
1001420,2017-11-28
1001421,2017-11-30
1001438,2017-11-29
1001441,2017-12-03
1001444,2017-12-02
1001460,2017-11-30
1001461,2017-11-30
1001466,2017-12-03
1001472,2017-11-26
1001482,2017-11-28
1001489,2017-11-28
1001492,2017-11-28
1001512,2017-12-01
1001521,2017-11-27
1001524,2017-12-03
1001531,2017-12-03
1001532,2017-12-02
1001534,2017-11-26
1001537,2017-12-03
1001543,2017-11-28
1001545,2017-12-03
1001551,2017-12-03
1001557,2017-12-02
1001562,2017-11-30
1001566,2017-12-01
1001569,2017-11-28
1001578,2017-12-02
1001591,2017-12-02
1001596,2017-12-02
1001601,2017-11-30
1001606,2017-12-01
1001608,2017-11-27
1001618,2017-11-26
1001625,2017-12-03
1001626,2017-11-30
1001628,2017-11-30
1001629,2017-12-03
100164,2017-11-29
1001641,2017-11-25
1001652,2017-12-03
1001654,2017-12-01
1001662,2017-11-30
1001667,2017-12-02
1001673,2017-11-29
1001676,2017-12-03
1001686,2017-12-01
1001688,2017-11-27
1001689,2017-12-01
1001697,2017-12-02
1001700,2017-11-30
1001711,2017-12-03
100173,2017-12-03
1001737,2017-11-30
1001744,2017-11-28
1001757,2017-12-03
1001769,2017-11-28
100177,2017-11-28
1001771,2017-11-26
1001783,2017-12-02
1001784,2017-11-29
1001788,2017-11-29
1001800,2017-12-01
1001803,2017-11-29
1001804,2017-12-03
1001809,2017-11-29
1001823,2017-11-30
1001829,2017-12-03
100184,2017-12-02
1001841,2017-12-02
1001844,2017-12-01
1001847,2017-11-26
1001850,2017-12-02
1001855,2017-11-29
1001856,2017-12-02
100186,2017-12-02
1001860,2017-12-01
1001866,2017-11-30
1001870,2017-12-02
1001872,2017-11-28
1001875,2017-12-01
1001876,2017-12-03
1001877,2017-12-02
1001879,2017-12-03
1001882,2017-12-03
1001891,2017-11-30
1001902,2017-12-03
1001903,2017-11-29
1001908,2017-12-01
100191,2017-12-01
1001912,2017-12-01
1001915,2017-12-02
1001917,2017-11-30
1001920,2017-12-01
1001921,2017-12-03
1001944,2017-11-30
1001946,2017-11-28
1001947,2017-12-02
1001952,2017-12-03
1001967,2017-12-03
100197,2017-12-03
1001981,2017-11-26
1001982,2017-12-03
1001985,2017-11-29
1001988,2017-12-03
10020,2017-11-27
1002005,2017-11-30
1002010,2017-11-30
1002020,2017-12-03
1002031,2017-12-03
1002032,2017-11-30
1002034,2017-12-02
100204,2017-11-28
1002040,2017-11-30
1002042,2017-12-03
1002044,2017-11-29
1002046,2017-11-28
1002058,2017-11-28
1002066,2017-12-02
1002093,2017-12-03
1002095,2017-11-30
10021,2017-12-01
1002118,2017-12-01
1002127,2017-12-03
1002128,2017-11-30
1002132,2017-11-28
1002142,2017-12-02
1002147,2017-11-28
100215,2017-12-02
1002166,2017-12-03
1002172,2017-11-26
1002180,2017-12-03
1002183,2017-11-29
1002185,2017-12-02
1002188,2017-12-03
1002191,2017-11-30
1002194,2017-12-03
1002200,2017-11-26
1002201,2017-12-02
1002202,2017-11-28
1002208,2017-12-03
1002213,2017-11-26
1002218,2017-12-03
1002222,2017-12-02
1002226,2017-12-01
1002228,2017-12-01
1002237,2017-12-02
1002246,2017-12-03
100225,2017-12-03
1002251,2017-12-02
1002254,2017-12-02
1002257,2017-12-03
1002260,2017-12-01
100227,2017-12-03
1002271,2017-11-30
1002291,2017-11-25
1002295,2017-12-02
1002306,2017-11-29
1002307,2017-12-03
1002311,2017-12-03
1002315,2017-12-03
1002316,2017-11-29
1002317,2017-12-03
1002328,2017-11-28
1002330,2017-11-29
1002331,2017-11-29
1002339,2017-11-28
100234,2017-11-28
1002349,2017-11-29
1002350,2017-12-02
1002358,2017-12-03
1002375,2017-12-03
1002387,2017-12-01
1002388,2017-12-01
1002392,2017-12-02
10024,2017-12-02
1002413,2017-11-26
100242,2017-11-30
1002421,2017-12-01
1002426,2017-12-01
1002428,2017-11-30
100243,2017-12-03
1002435,2017-11-26
1002449,2017-12-02
1002453,2017-11-27
1002460,2017-11-25
1002478,2017-11-27
1002479,2017-12-01
1002484,2017-11-29
100249,2017-11-28
1002494,2017-11-28
1002508,2017-11-30
1002512,2017-12-03
1002520,2017-12-03
1002526,2017-11-30
1002534,2017-11-28
1002542,2017-12-02
1002547,2017-12-02
1002564,2017-12-01
1002566,2017-11-30
100257,2017-12-03
1002574,2017-12-03
1002578,2017-12-03
1002587,2017-12-01
1002589,2017-12-02
100259,2017-11-30
1002591,2017-12-03
1002593,2017-11-27
1002597,2017-12-02
100261,2017-12-03
1002618,2017-12-03
1002637,2017-12-02
100264,2017-12-02
1002642,2017-12-03
1002661,2017-12-02
1002672,2017-12-02
1002684,2017-12-03
1002685,2017-12-01
1002696,2017-12-02
10027,2017-12-01
1002705,2017-11-27
1002714,2017-12-02
1002725,2017-11-28
1002756,2017-12-03
1002763,2017-12-01
1002766,2017-11-30
1002767,2017-12-03
100277,2017-11-27
1002771,2017-12-03
100279,2017-12-03
1002793,2017-12-02
1002831,2017-12-03
100284,2017-11-28
1002846,2017-11-30
1002847,2017-12-02
100285,2017-12-02
1002862,2017-12-03
1002878,2017-12-03
1002886,2017-11-29
1002890,2017-12-03
1002909,2017-12-03
100292,2017-11-27
1002927,2017-12-01
1002928,2017-12-01
1002931,2017-12-02
1002934,2017-12-03
100294,2017-12-03
1002940,2017-11-30
1002943,2017-12-02
1002970,2017-12-03
1002975,2017-12-01
1002980,2017-11-25
1002992,2017-12-02
1002996,2017-11-25
1003022,2017-12-03
1003027,2017-12-03
1003041,2017-12-03
1003044,2017-11-29
1003047,2017-11-29
1003052,2017-12-02
1003057,2017-12-02
1003063,2017-12-02
1003065,2017-12-01
100307,2017-11-30
1003071,2017-12-01
1003073,2017-12-03
1003076,2017-12-01
100308,2017-11-28
1003093,2017-11-30
1003095,2017-11-28
1003110,2017-11-27
1003122,2017-11-27
1003123,2017-12-03
1003124,2017-11-25
100313,2017-12-02
1003131,2017-12-02
1003152,2017-11-28
1003157,2017-11-30
1003163,2017-11-27
1003171,2017-12-03
1003176,2017-12-02
1003177,2017-11-30
100318,2017-12-03
1003183,2017-12-03
1003184,2017-11-29
1003190,2017-12-02
1003191,2017-12-01
1003199,2017-11-26
1003200,2017-12-03
1003221,2017-11-25
1003226,2017-12-01
1003227,2017-11-30
1003230,2017-11-30
1003239,2017-12-03
100324,2017-11-28
1003249,2017-12-03
1003250,2017-12-03
1003264,2017-12-03
1003273,2017-12-03
1003274,2017-11-28
1003281,2017-11-28
1003283,2017-12-01
1003292,2017-12-02
1003293,2017-11-26
1003296,2017-12-02
1003298,2017-11-25
1003306,2017-11-27
1003319,2017-12-01
1003321,2017-12-03
1003326,2017-12-01
1003329,2017-11-27
1003332,2017-12-02
1003341,2017-12-02
1003343,2017-11-27
1003348,2017-12-03
1003351,2017-12-03
1003359,2017-11-26
100339,2017-11-26
1003390,2017-12-02
1003397,2017-11-30
10034,2017-12-03
100340,2017-12-01
1003410,2017-12-02
1003422,2017-12-03
1003428,2017-12-02
1003432,2017-11-28
1003440,2017-12-01
1003457,2017-11-30
100346,2017-11-30
1003463,2017-12-03
1003467,2017-11-27
1003475,2017-11-26
1003479,2017-11-26
1003492,2017-12-01
1003499,2017-11-25
10035,2017-11-27
1003509,2017-12-03
1003510,2017-12-03
1003512,2017-11-26
1003514,2017-12-03
1003531,2017-11-26
1003550,2017-11-29
1003553,2017-11-26
1003559,2017-12-03
100356,2017-12-03
1003561,2017-12-03
1003562,2017-12-03
100357,2017-12-02
1003571,2017-11-29
1003584,2017-11-30
1003586,2017-12-02
1003598,2017-11-30
1003610,2017-12-01
1003611,2017-11-30
1003612,2017-11-30
1003627,2017-12-03
1003628,2017-12-03
1003629,2017-12-01
100363,2017-11-28
1003643,2017-11-28
1003656,2017-12-03
1003685,2017-11-25
1003693,2017-12-01
100370,2017-12-03
1003703,2017-11-29
1003707,2017-12-03
1003711,2017-11-30
1003716,2017-12-03
1003724,2017-12-01
1003725,2017-12-02
1003733,2017-11-26
1003740,2017-12-01
1003743,2017-11-29
1003748,2017-12-03
1003756,2017-11-29
1003757,2017-12-02
1003761,2017-12-02
1003766,2017-12-03
1003767,2017-11-29
100377,2017-12-03
1003781,2017-12-02
1003782,2017-12-03
1003792,2017-11-30
1003807,2017-11-30
1003821,2017-12-03
1003826,2017-12-03
1003837,2017-12-01
1003838,2017-12-02
1003846,2017-12-01
1003855,2017-11-25
1003863,2017-12-03
1003866,2017-12-02
1003867,2017-12-03
1003871,2017-12-01
1003875,2017-11-26
100388,2017-12-03
1003885,2017-12-02
1003887,2017-11-30
1003893,2017-12-03
1003894,2017-11-28
1003901,2017-12-02
1003906,2017-12-03
1003912,2017-11-26
1003914,2017-11-28
1003938,2017-12-02
1003940,2017-12-03
1003941,2017-11-27
1003947,2017-11-27
100395,2017-12-02
1003961,2017-12-03
1003965,2017-11-26
1003975,2017-12-02
1003979,2017-11-29
1003983,2017-12-03
1003988,2017-12-03
1003991,2017-12-01
1003993,2017-12-02
1003998,2017-12-02
1004001,2017-12-03
1004002,2017-12-03
100401,2017-11-26
1004019,2017-12-02
1004020,2017-11-29
1004021,2017-12-02
1004026,2017-12-03
1004032,2017-12-02
1004068,2017-12-03
1004073,2017-11-28
1004075,2017-12-02
1004082,2017-12-03
1004087,2017-11-25
1004096,2017-12-02
1004106,2017-11-30
1004115,2017-11-25
1004118,2017-12-01
1004122,2017-11-27
1004140,2017-12-01
1004146,2017-12-03
1004161,2017-12-03
1004165,2017-11-30
1004172,2017-12-03
1004183,2017-12-03
1004192,2017-11-25
1004196,2017-11-28
1004201,2017-11-26
1004207,2017-12-02
1004212,2017-11-29
1004228,2017-11-30
1004232,2017-11-29
1004238,2017-11-30
1004246,2017-11-30
1004259,2017-12-01
1004269,2017-12-03
1004274,2017-11-30
1004277,2017-12-01
100428,2017-11-28
1004282,2017-12-03
1004289,2017-11-27
1004296,2017-11-28
1004298,2017-11-28
1004302,2017-12-02
1004303,2017-11-25
1004319,2017-12-01
1004327,2017-12-01
1004335,2017-12-03
1004337,2017-12-03
1004339,2017-12-02
1004341,2017-11-29
1004350,2017-12-02
1004353,2017-12-01
1004354,2017-12-03
1004357,2017-12-02
1004362,2017-11-30
1004366,2017-12-02
1004368,2017-11-29
1004378,2017-12-01
1004381,2017-12-03
1004396,2017-12-02
10044,2017-11-28
100440,2017-12-03
1004403,2017-11-28
1004405,2017-12-02
1004406,2017-11-28
1004410,2017-11-29
1004413,2017-12-01
1004420,2017-11-29
1004426,2017-12-02
1004427,2017-11-25
1004441,2017-12-03
1004442,2017-11-30
1004443,2017-11-29
1004444,2017-12-03
1004446,2017-12-02
1004448,2017-12-03
1004454,2017-11-27
1004458,2017-12-02
1004463,2017-11-28
1004466,2017-11-28
1004467,2017-12-02
1004471,2017-11-28
1004474,2017-11-30
1004477,2017-12-03
1004490,2017-11-30
1004497,2017-12-02
10045,2017-12-01
1004504,2017-12-01
100451,2017-12-03
1004516,2017-11-29
1004523,2017-11-30
100453,2017-12-03
1004533,2017-12-03
1004538,2017-12-02
1004555,2017-12-03
1004560,2017-12-01
1004562,2017-12-03
1004565,2017-12-02
1004570,2017-12-02
1004572,2017-12-01
1004577,2017-12-02
1004580,2017-11-29
1004584,2017-12-03
1004599,2017-12-02
1004603,2017-12-01
1004604,2017-11-26
1004606,2017-11-30
1004608,2017-11-29
1004611,2017-11-26
1004651,2017-12-01
1004659,2017-12-02
1004663,2017-12-03
1004681,2017-12-03
1004682,2017-12-03
1004684,2017-11-30
1004701,2017-11-29
1004726,2017-12-03
1004730,2017-12-02
1004737,2017-12-01
1004743,2017-12-02
1004745,2017-12-02
1004751,2017-12-03
100477,2017-12-03
1004775,2017-11-26
1004778,2017-11-28
1004785,2017-12-02
1004792,2017-12-02
1004800,2017-11-29
1004807,2017-12-03
1004810,2017-12-03
1004829,2017-12-01
100483,2017-12-02
1004834,2017-12-03
1004835,2017-12-02
1004839,2017-12-03
1004841,2017-12-02
1004842,2017-11-30
1004862,2017-12-02
1004879,2017-11-29
1004881,2017-11-30
1004886,2017-12-01
1004895,2017-12-03
10049,2017-12-03
1004906,2017-12-03
1004929,2017-11-28
100493,2017-11-29
1004936,2017-12-03
1004944,2017-12-02
1004945,2017-11-30
1004958,2017-11-27
1004960,2017-11-26
1004964,2017-12-02
1004973,2017-12-02
1004974,2017-12-03
1004993,2017-12-02
100501,2017-11-29
1005016,2017-12-01
1005022,2017-11-26
1005035,2017-12-03
1005055,2017-12-01
1005070,2017-12-02
1005074,2017-12-03
1005077,2017-12-03
1005082,2017-12-03
1005085,2017-11-29
1005103,2017-12-02
1005115,2017-12-02
1005117,2017-11-27
1005124,2017-12-03
1005129,2017-11-25
1005131,2017-11-29
1005134,2017-11-30
1005135,2017-12-02
1005166,2017-12-03
1005179,2017-11-28
1005186,2017-11-28
1005188,2017-12-02
1005196,2017-12-02
1005215,2017-11-28
1005218,2017-11-28
100523,2017-11-28
1005233,2017-11-30
1005249,2017-12-03
1005256,2017-12-01
1005257,2017-12-03
1005259,2017-12-03
1005268,2017-11-27
1005269,2017-11-28
100528,2017-12-03
1005281,2017-12-01
1005283,2017-12-01
1005284,2017-12-03
1005292,2017-12-03
1005293,2017-11-30
1005294,2017-12-02
10053,2017-11-29
1005304,2017-12-03
100531,2017-12-01
1005311,2017-11-28
1005313,2017-11-29
1005314,2017-11-29
1005319,2017-12-01
1005320,2017-12-02
1005324,2017-12-02
1005329,2017-12-02
1005337,2017-12-02
1005338,2017-11-30
1005345,2017-11-26
1005346,2017-11-26
1005366,2017-11-30
1005383,2017-11-28
100540,2017-11-30
1005401,2017-11-30
1005407,2017-12-03
1005412,2017-11-29
1005413,2017-11-29
1005414,2017-12-03
1005417,2017-11-30
1005419,2017-12-03
1005422,2017-12-02
1005430,2017-12-01
1005431,2017-11-27
1005442,2017-12-02
1005444,2017-12-02
1005455,2017-11-27
1005459,2017-12-02
1005468,2017-11-30
1005472,2017-12-01
1005473,2017-12-03
1005474,2017-12-03
1005482,2017-11-29
1005487,2017-12-03
1005490,2017-12-02
1005498,2017-12-01
1005501,2017-12-03
1005502,2017-12-02
1005505,2017-11-29
1005507,2017-12-03
1005521,2017-11-29
1005522,2017-11-27
1005524,2017-11-28
1005541,2017-11-28
1005545,2017-12-03
1005548,2017-12-01
1005551,2017-12-01
1005559,2017-12-03
1005564,2017-12-01
1005571,2017-11-29
1005572,2017-11-30
1005585,2017-12-02
100561,2017-12-02
1005616,2017-11-26
1005626,2017-11-30
1005627,2017-11-26
1005649,2017-11-28
1005659,2017-11-29
1005661,2017-11-30
100567,2017-11-30
1005681,2017-12-03
1005688,2017-12-02
1005693,2017-11-26
1005694,2017-11-30
10057,2017-12-02
1005701,2017-11-27
1005703,2017-11-28
1005704,2017-12-03
1005705,2017-12-02
1005706,2017-11-29
1005707,2017-12-01
1005709,2017-12-03
1005712,2017-12-03
1005713,2017-12-01
1005738,2017-12-03
1005742,2017-12-03
1005744,2017-11-26
1005746,2017-12-03
1005752,2017-12-02
1005758,2017-12-02
1005760,2017-12-01
1005766,2017-12-02
1005767,2017-12-03
1005771,2017-12-03
1005775,2017-12-01
1005779,2017-12-03
1005785,2017-12-01
1005787,2017-11-29
1005788,2017-11-28
100580,2017-11-29
1005807,2017-12-03
1005822,2017-12-02
1005832,2017-11-30
1005834,2017-11-26
1005837,2017-11-26
1005838,2017-12-03
1005845,2017-12-02
1005860,2017-11-28
1005864,2017-12-02
1005866,2017-11-27
1005874,2017-12-01
1005877,2017-11-28
1005880,2017-12-02
1005897,2017-12-02
1005906,2017-11-28
1005909,2017-12-02
1005910,2017-11-29
1005916,2017-12-03
1005924,2017-11-30
1005939,2017-11-30
1005945,2017-11-30
100595,2017-11-30
1005952,2017-11-29
1005953,2017-11-30
1005961,2017-12-03
1005981,2017-12-01
1005982,2017-12-02
1005985,2017-12-01
100599,2017-12-03
1005990,2017-12-02
1005995,2017-12-03
1005996,2017-12-03
100600,2017-12-02
1006002,2017-12-03
1006003,2017-12-01
1006015,2017-11-28
1006021,2017-11-29
1006028,2017-11-27
1006040,2017-12-03
1006063,2017-11-30
1006079,2017-12-03
1006084,2017-12-01
1006097,2017-12-01
1006102,2017-11-29
1006110,2017-12-02
1006121,2017-11-28
1006126,2017-11-25
100614,2017-11-30
1006141,2017-12-02
100615,2017-11-30
1006159,2017-12-02
1006173,2017-11-27
1006178,2017-11-28
1006181,2017-11-29
1006204,2017-11-30
1006207,2017-12-03
1006224,2017-12-02
1006236,2017-11-29
1006252,2017-12-01
1006255,2017-11-27
1006260,2017-12-03
1006261,2017-12-02
1006262,2017-12-03
1006267,2017-12-02
1006274,2017-12-03
1006288,2017-11-30
1006306,2017-11-27
1006307,2017-12-03
1006309,2017-11-30
1006312,2017-12-01
1006317,2017-11-30
1006322,2017-12-01
1006336,2017-11-28
1006351,2017-11-25
1006354,2017-11-26
1006389,2017-11-29
1006392,2017-11-29
1006394,2017-12-02
1006395,2017-11-28
1006398,2017-12-02
1006402,2017-12-02
1006403,2017-12-03
1006404,2017-12-03
1006405,2017-12-02
1006407,2017-11-26
100641,2017-12-02
1006411,2017-12-03
1006422,2017-12-03
1006432,2017-11-30
1006439,2017-11-27
1006446,2017-12-03
1006448,2017-11-29
1006451,2017-11-29
1006453,2017-12-03
1006469,2017-12-02
1006470,2017-11-30
1006471,2017-12-01
1006480,2017-12-03
1006481,2017-12-01
1006482,2017-12-02
1006495,2017-11-27
1006498,2017-11-26
1006510,2017-11-29
1006513,2017-12-02
1006525,2017-12-02
1006538,2017-12-02
1006543,2017-12-01
1006553,2017-12-03
1006563,2017-11-26
1006566,2017-12-03
1006582,2017-12-03
1006585,2017-12-02
1006586,2017-11-28
1006590,2017-11-27
1006593,2017-12-01
1006597,2017-12-03
1006601,2017-12-01
1006616,2017-11-30
1006618,2017-11-27
100663,2017-12-02
1006634,2017-11-26
100664,2017-11-28
1006647,2017-11-27
1006651,2017-11-30
1006652,2017-12-03
1006653,2017-12-03
1006660,2017-12-02
1006666,2017-12-02
1006670,2017-11-27
1006678,2017-11-29
1006698,2017-12-03
1006704,2017-11-27
1006707,2017-12-03
1006736,2017-11-30
1006740,2017-11-29
1006745,2017-11-29
1006754,2017-11-30
1006765,2017-12-03
1006767,2017-11-29
1006768,2017-12-02
1006777,2017-12-01
100678,2017-12-03
1006784,2017-11-28
1006803,2017-11-29
1006817,2017-12-02
1006823,2017-11-27
1006850,2017-11-29
1006851,2017-12-01
1006864,2017-11-30
1006870,2017-12-02
1006872,2017-12-03
100688,2017-11-29
1006887,2017-12-01
1006889,2017-12-03
1006894,2017-11-28
1006897,2017-12-03
1006917,2017-11-29
1006919,2017-12-03
1006920,2017-12-03
1006925,2017-11-25
1006935,2017-11-30
1006938,2017-12-03
1006939,2017-11-30
1006940,2017-11-28
1006943,2017-11-28
1006954,2017-11-30
1006964,2017-12-03
1006977,2017-11-30
1006984,2017-12-03
1006992,2017-12-01
100700,2017-11-27
1007004,2017-12-03
1007006,2017-12-01
1007017,2017-11-30
100702,2017-11-30
1007020,2017-12-01
1007027,2017-12-03
1007028,2017-11-28
1007031,2017-11-29
1007035,2017-12-03
1007037,2017-12-02
1007046,2017-11-28
1007057,2017-11-27
1007058,2017-12-02
1007071,2017-12-03
1007076,2017-12-01
1007077,2017-12-02
1007078,2017-12-03
1007082,2017-12-03
1007088,2017-12-02
1007094,2017-12-03
1007112,2017-12-03
100712,2017-11-29
1007123,2017-12-01
1007148,2017-12-03
1007155,2017-12-01
1007163,2017-12-02
1007171,2017-12-03
1007181,2017-12-01
100719,2017-11-26
1007190,2017-12-03
1007192,2017-12-03
1007200,2017-11-27
1007201,2017-12-02
1007202,2017-12-02
1007217,2017-11-27
1007221,2017-11-25
1007222,2017-12-02
1007225,2017-12-03
1007231,2017-11-29
1007246,2017-12-03
1007248,2017-12-02
1007250,2017-12-02
1007253,2017-12-02
1007255,2017-12-01
1007260,2017-11-29
1007274,2017-12-03
1007275,2017-12-02
1007280,2017-11-27
1007294,2017-12-03
1007313,2017-12-03
1007314,2017-11-25
1007317,2017-11-30
1007319,2017-12-03
1007323,2017-11-30
1007334,2017-11-25
1007335,2017-12-03
1007339,2017-12-03
100734,2017-12-02
1007349,2017-12-02
1007353,2017-11-28
1007356,2017-12-02
1007371,2017-11-30
1007387,2017-12-03
1007388,2017-11-29
1007391,2017-12-01
1007393,2017-12-03
1007396,2017-11-25
100740,2017-12-02
1007401,2017-12-02
1007402,2017-11-30
1007441,2017-12-02
1007445,2017-12-02
1007452,2017-12-02
1007453,2017-12-03
1007476,2017-12-03
1007479,2017-12-03
1007484,2017-12-01
1007486,2017-11-30
1007495,2017-11-25
10075,2017-11-29
1007501,2017-12-03
1007503,2017-12-03
1007506,2017-12-02
1007511,2017-11-30
1007513,2017-11-29
1007539,2017-11-29
1007550,2017-12-01
100757,2017-12-01
1007573,2017-12-03
1007579,2017-12-02
1007583,2017-12-01
1007595,2017-11-25
1007596,2017-11-30
1007597,2017-12-02
100760,2017-11-27
1007601,2017-12-03
1007609,2017-12-01
1007617,2017-11-26
100762,2017-12-01
1007624,2017-12-03
1007629,2017-12-03
1007635,2017-11-28
1007642,2017-11-28
1007644,2017-11-29
1007659,2017-11-26
1007665,2017-12-03
1007670,2017-12-03
1007671,2017-12-02
1007680,2017-11-25
1007688,2017-11-30
1007691,2017-12-03
1007699,2017-12-03
1007704,2017-12-03
1007712,2017-11-25
100772,2017-12-03
1007724,2017-12-01
1007739,2017-12-02
1007747,2017-12-01
1007753,2017-12-01
1007755,2017-12-02
1007770,2017-11-30
1007778,2017-12-02
1007779,2017-12-01
1007782,2017-12-02
1007786,2017-12-01
1007791,2017-11-30
10078,2017-12-02
1007802,2017-12-03
1007808,2017-11-25
100781,2017-11-25
1007819,2017-11-28
1007833,2017-11-29
1007839,2017-12-01
1007843,2017-12-03
1007848,2017-12-03
1007851,2017-11-29
1007857,2017-12-01
1007860,2017-12-03
1007870,2017-11-30
1007879,2017-12-01
1007884,2017-11-30
1007890,2017-12-02
1007894,2017-11-30
1007906,2017-12-03
1007907,2017-12-03
1007912,2017-12-01
1007919,2017-12-03
1007925,2017-12-02
1007928,2017-12-03
1007934,2017-12-01
100794,2017-12-01
1007944,2017-11-29
1007952,2017-12-03
1007957,2017-12-03
1007963,2017-11-26
1007965,2017-11-27
100797,2017-12-02
1007976,2017-12-02
1007983,2017-12-02
1007993,2017-12-01
100800,2017-12-02
1008003,2017-12-03
1008008,2017-12-02
1008010,2017-11-28
100803,2017-12-02
1008037,2017-11-29
1008042,2017-12-01
1008044,2017-11-27
1008055,2017-11-27
1008062,2017-12-01
1008065,2017-12-02
1008078,2017-11-30
1008082,2017-12-02
1008085,2017-11-30
1008097,2017-11-29
1008100,2017-12-03
1008102,2017-12-01
1008106,2017-12-03
1008107,2017-12-03
100812,2017-12-01
1008120,2017-12-01
1008131,2017-12-01
1008137,2017-12-02
100814,2017-12-03
1008148,2017-12-03
100815,2017-11-29
1008151,2017-12-02
1008152,2017-11-30
100816,2017-11-29
1008162,2017-12-03
1008174,2017-12-03
1008183,2017-11-29
1008184,2017-12-01
1008187,2017-12-03
100821,2017-12-03
1008212,2017-12-03
1008215,2017-12-03
1008217,2017-11-26
100822,2017-12-02
1008221,2017-12-02
1008230,2017-12-01
1008231,2017-11-28
1008241,2017-11-30
1008245,2017-12-03
1008253,2017-12-02
1008255,2017-11-27
1008257,2017-12-02
1008258,2017-11-27
1008275,2017-12-03
